City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tazovsky,67.4667,78.7,252.19,92,90,6.62,RU,1706661470
83,puerto berrio,6.4916,-74.4033,300.58,71,96,0.69,CO,1706661470
84,aasiaat,68.7098,-52.8699,243.06,96,56,5.68,GL,1706661470
85,colares,38.7992,-9.4469,288.65,88,84,6.71,PT,1706661471
86,enewetak,11.3474,162.3373,299.7,71,100,8.97,MH,1706661471
87,gulf breeze,30.3571,-87.1639,287.05,71,0,3.6,US,1706661471
88,glace bay,46.1969,-59.957,268.09,74,40,4.12,CA,1706661330
89,natal,-5.795,-35.2094,301.27,74,20,3.09,BR,1706661299
90,hilo,19.7297,-155.09,302.75,67,20,3.6,US,1706661333
91,hermanus,-34.4187,19.2345,293.6,83,100,4.22,ZA,1706661472
92,jamestown,42.097,-79.2353,274.92,90,100,2.57,US,1706661463
93,ojinaga,29.5667,-104.4167,295.68,33,0,2.06,MX,1706661472
94,half moon,34.826,-77.4594,282.01,78,40,2.57,US,1706661472
95,udachny,66.4167,112.4,246.0,100,98,1.04,RU,1706661472
96,taoudenni,22.6783,-3.9836,291.8,24,0,6.44,ML,1706661472
97,male,4.1748,73.5089,300.12,89,75,4.12,MV,1706661472
98,puerto cabezas,14.0351,-83.3888,296.9,78,0,5.58,NI,1706661472
99,vera cruz,-12.6333,-41.0333,295.91,72,0,1.28,BR,1706661473
100,camiri,-20.05,-63.5167,294.92,87,60,1.51,BO,1706661473
101,kailua-kona,19.6406,-155.9956,301.13,75,75,6.17,US,1706661473
102,bilibino,68.0546,166.4372,239.84,98,100,0.44,RU,1706661473
103,angaur state,6.906,134.13,300.55,82,56,10.85,PW,1706661473
104,dikhil,11.5,42.1667,294.89,80,96,1.22,DJ,1706661473
105,colonia,50.9333,6.95,281.46,80,100,3.6,DE,1706661473
106,ar rutbah,33.0381,40.2848,279.29,63,0,2.79,IQ,1706661473
107,ciudad lazaro cardenas,17.9583,-102.2,298.72,73,100,1.2,MX,1706661223
108,yellowknife,62.456,-114.3525,262.82,99,100,4.12,CA,1706661474
109,georgetown,5.4112,100.3354,300.34,79,20,2.57,MY,1706661450
110,torrington,41.8007,-73.1212,273.78,90,100,1.34,US,1706661390
111,hithadhoo,-0.6,73.0833,300.6,73,16,1.9,MV,1706661474
112,say,13.1007,2.3689,297.46,19,67,4.6,NE,1706661474
113,happy valley-goose bay,53.3168,-60.3315,257.32,51,20,2.57,CA,1706661474
114,lompoc,34.6391,-120.4579,293.03,71,75,5.14,US,1706661474
115,hammerfest,70.6634,23.6821,277.4,75,20,16.46,NO,1706661474
116,fukuecho,32.6881,128.8419,286.35,94,75,2.57,JP,1706661475
117,bardai,11.65,7.2333,291.8,20,21,4.53,NG,1706661212
118,margaret river,-33.95,115.0667,298.05,47,0,2.55,AU,1706661475
119,kaya,13.0917,-1.0844,294.94,17,6,4.18,BF,1706661475
120,bousso,10.4795,16.7117,295.67,18,0,3.76,TD,1706661475
121,sokolow podlaski,52.4068,22.2531,274.02,73,100,4.59,PL,1706661476
122,katsuura,35.1333,140.3,279.16,57,5,5.9,JP,1706661476
123,malango,-2.9627,119.9001,298.09,83,74,0.54,ID,1706661476
124,olhao,37.0286,-7.8411,288.2,81,0,4.12,PT,1706661427
125,zhelezinka,53.54,75.3072,254.25,97,98,2.69,KZ,1706661476
126,serdar,38.9764,56.2757,273.62,74,13,2.57,TM,1706661476
127,suwayr,30.1171,40.3893,280.67,46,0,3.47,SA,1706661476
128,gizo,-8.103,156.8419,301.07,74,100,4.87,SB,1706661476
129,haiku-pauwela,20.9219,-156.3051,296.58,95,100,3.09,US,1706661477
130,san antonio de pale,-1.4014,5.6325,301.06,79,100,2.25,GQ,1706661477
131,pionerskiy,54.9508,20.2275,276.06,84,100,6.23,RU,1706661477
132,fada,9.5667,8.3,294.17,26,1,3.47,NG,1706661477
133,chornomors'k,46.305,30.6548,274.3,69,12,2.01,UA,1706661477
134,forster,-32.1667,152.5167,301.09,71,19,4.49,AU,1706661477
135,hobyo,5.3505,48.5268,298.26,75,100,5.87,SO,1706661477
136,reggane,26.7158,0.1714,289.88,31,0,8.0,DZ,1706661478
137,cabinda,-5.55,12.2,301.23,94,40,2.06,AO,1706661478
138,boa esperanca,-21.09,-45.5658,295.37,49,100,0.73,BR,1706661478
